State,UnitID,InstitutionName,Control,TotalEnrollment,SFA1819,SFA1718_RV,SFA1617_RV,SFA1516_RV,SFA1415_RV,SFA1314_RV,SFA1213_RV,SFA1112_RV,SFA1011_RV,SFA0910_RV,EFIA2019,EFIA2018_RV,EFIA2017_RV,EFIA2016_RV,EFIA2015_RV,EFIA2014_RV,EFIA2013_RV,EFIA2012_RV,EFIA2011_RV,EFIA2010_RV,IC2019_AY,IC2018_AY,IC2017_AY,IC2016_AY,IC2015_AY,IC2014_AY,IC2013_AY,IC2012_AY,IC2011_AY_RV,IC2010_AY_RV,IC2009_AY_RV,PercentUndergradAid
OK,250993,Red River Technology Center,1,252,4481,3607,4046,3585,3395,2917,3545,3346,3273,3146,252,303,266,270,273,295,410,76,87,154,,,,,,,,,,,,18
OK,207069,Redlands Community College,1,1101,4338,3423,3135,3251,3609,3298,3710,3622,3855,3190,1101,1162,1274,1290,1333,1431,1466,1573,1653,1550,5360,5300,4962,4154,3882,3701,3495,3330,3180,3030,2903,77
OK,483717,River Valley Cosmetology Institute,3,40,4931,5158,4272,4607,4404,3998,,,,,40,51,45,46,69,53,,,,,,,,,,,,,,,,35
OK,207661,Rogers State University,1,2675,6106,6042,5704,4736,4391,5110,4945,5034,4852,4661,2675,2752,2858,2971,2920,3169,3482,3554,3372,3232,7470,7200,6870,6540,6009,5725,5349,5047,4777,4513,4277,69
OK,207670,Rose State College,1,4190,2577,3653,3483,3385,3110,2953,3017,3163,2938,3255,4190,4415,4333,4264,4304,4446,4896,5258,5648,5328,4531,4319,4124,3808,3375,3225,3104,2955,2835,2660,2490,76
OK,207740,Seminole State College,1,1152,5353,6084,4481,4521,6206,2397,5719,3493,4457,3947,1152,1183,1147,1229,1323,1309,1408,1517,1551,1707,5190,5040,4440,4140,3808,3630,3425,3330,3231,3000,2848,75
OK,439932,Shawnee Beauty College,3,53,5797,5029,4800,5011,4764,4750,4631,5105,5000,5882,53,24,27,29,28,37,45,43,34,37,,,,,,,,,,,,70
OK,207847,Southeastern Oklahoma State University,1,2616,8248,7911,7728,7500,7162,6756,6830,6467,6885,6215,2616,2544,2659,2721,2923,2957,3094,3235,3259,3278,6750,6750,6750,6450,5975,5688,5315,5060,4904,4652,4416,84
OK,206862,Southern Nazarene University,2,1413,15232,15059,21874,9920,13335,10772,14348,11286,8508,8864,1413,1406,1349,1570,1562,1638,1618,1532,1469,1655,25416,25234,25178,24468,23320,22690,22044,21174,19794,18354,17664,55
OK,365198,Southern Oklahoma Technology Center,1,435,3864,3456,2870,2936,3082,3482,4166,4487,4281,3301,435,471,530,531,503,574,467,457,452,539,,,,,,,,,,,,15
OK,207786,Southern School of Beauty Inc,3,21,6195,6095,5920,7095,5775,5730,5474,6500,5550,5550,21,21,21,23,21,31,31,28,27,26,,,,,,,,,,,,100
OK,368364,Southwest Technology Center,1,172,4051,4338,3250,2700,2611,3262,2864,3081,2376,3936,172,174,130,167,176,118,211,228,258,193,,,,,,,,,,,,26
OK,207856,Southwestern Christian University,2,435,9382,9105,8498,7696,16720,6553,3790,12690,6178,11949,435,531,609,626,632,650,333,248,322,203,16330,15080,13880,13080,12830,12470,14220,14025,12350,10700,10700,91
OK,207865,Southwestern Oklahoma State University,1,3787,7477,7218,7190,6983,6846,6577,6469,6072,6136,5798,3787,3958,3976,3828,3709,3647,3758,3873,3904,3780,7695,7335,7005,6690,6090,5820,5460,5175,4800,4335,4110,73
OK,207254,Spartan College of Aeronautics and Technology,3,1203,6825,16593,11966,4125,3450,3884,8030,4865,4008,3833,1203,1360,1337,830,825,1064,1208,1222,1658,1371,20531,17702,17975,16395,16395,16395,15915,15450,15000,15000,14570,53
OK,488828,Totally Cosmo School of Modern Cosmetology,3,38,4289,4361,4359,,,,,,,,38,37,31,,,,,,,,,,,,,,,,,,,74
OK,207935,Tulsa Community College,1,9848,4042,3811,3732,3515,3598,5426,5567,4100,3655,2696,9848,10071,10246,10602,11053,11606,12480,13141,13443,13243,3445,3349,3221,3071,2900,2820,2606,2546,2450,2313,2204,65
OK,488934,Tulsa Technology Center,1,3176,3425,3358,2420,3348,,,,,,,3176,2819,2742,2675,,,,,,,,,,,,,,,,,,24
OK,207962,Tulsa Welding School-Tulsa,3,921,5272,5058,4436,4103,4534,4513,3986,3763,3857,4267,921,846,953,1076,1082,1237,1019,1125,1147,1074,,,,,,,,,,,,87
OK,206941,University of Central Oklahoma,1,11248,8392,6582,5728,5995,6022,5807,5440,5199,4976,4636,11248,11629,11903,12103,12095,10200,12520,12370,12293,11632,7753,7489,7100,6699,6096,5806,5437,5092,4718,4456,4223,66
OK,207342,University of Oklahoma-Health Sciences Center,1,879,4961,5709,4040,4244,4164,4876,3564,3171,3104,2203,879,907,951,962,966,970,1026,1055,1220,1468,,,,,,,,,,,,40
OK,207500,University of Oklahoma-Norman Campus,1,20292,9098,9154,8679,8422,8079,7415,7164,6858,7160,6726,20292,20355,20285,19505,19219,18838,18770,18367,17777,17709,11763,11538,11538,10881,10090,9495,8916,8706,8325,7864,7483,71
OK,207722,University of Science and Arts of Oklahoma,1,691,10973,10086,9925,8513,8239,7659,7374,9776,7340,7143,691,830,834,831,876,901,974,1002,1018,1048,8040,7200,7200,7200,6270,6270,4866,4320,3744,3744,3552,88
OK,207971,University of Tulsa,2,3297,32003,30065,24802,21994,21929,21976,20141,19642,18865,17534,3297,3343,3449,3528,3512,3475,3183,3055,3112,3034,42723,41509,41509,41509,39521,35855,34835,33095,31551,28735,27237,93
OK,208017,Virgil's Beauty College,3,28,,5500,4923,4596,4467,4798,3938,4700,3542,4372,28,23,33,27,26,46,49,55,39,58,,,,,,,,,,,,
OK,418357,Wes Watkins Technology Center,1,53,4212,5002,4316,3913,3935,3969,3586,3928,4072,4280,53,51,50,64,121,98,176,188,202,276,,,,,,,,,,,,91
